"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2015","AQS","120010023","1","5.9","ug/m3 LC","25","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/06/2015","AQS","120010023","1","5.8","ug/m3 LC","24","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/09/2015","AQS","120010023","1","9.5","ug/m3 LC","40","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/12/2015","AQS","120010023","1","3.3","ug/m3 LC","14","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/15/2015","AQS","120010023","1","6.7","ug/m3 LC","28","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/18/2015","AQS","120010023","1","8.7","ug/m3 LC","36","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/21/2015","AQS","120010023","1","8.2","ug/m3 LC","34","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/24/2015","AQS","120010023","1","3.5","ug/m3 LC","15","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/27/2015","AQS","120010023","1","5.6","ug/m3 LC","23","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/30/2015","AQS","120010023","1","7.1","ug/m3 LC","30","MILLHOPPER","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
