"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","AQS","360010005","1","22.5","ug/m3 LC","73","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/02/2010","AQS","360010005","1","3.2","ug/m3 LC","13","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/03/2010","AQS","360010005","1","3.8","ug/m3 LC","16","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/04/2010","AQS","360010005","1","2.3","ug/m3 LC","10","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/08/2010","AQS","360010005","1","3.4","ug/m3 LC","14","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/09/2010","AQS","360010005","1","2.7","ug/m3 LC","11","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/10/2010","AQS","360010005","1","9.3","ug/m3 LC","39","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/11/2010","AQS","360010005","1","14.3","ug/m3 LC","56","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/12/2010","AQS","360010005","1","8.3","ug/m3 LC","35","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/13/2010","AQS","360010005","1","13","ug/m3 LC","53","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/14/2010","AQS","360010005","1","21.1","ug/m3 LC","70","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/15/2010","AQS","360010005","1","17.1","ug/m3 LC","62","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/16/2010","AQS","360010005","1","12.1","ug/m3 LC","51","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/17/2010","AQS","360010005","1","22.7","ug/m3 LC","73","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/18/2010","AQS","360010005","1","7","ug/m3 LC","29","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/19/2010","AQS","360010005","1","19","ug/m3 LC","66","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/20/2010","AQS","360010005","1","11.8","ug/m3 LC","49","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/21/2010","AQS","360010005","1","9.4","ug/m3 LC","39","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/22/2010","AQS","360010005","1","10.6","ug/m3 LC","44","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/23/2010","AQS","360010005","1","11.9","ug/m3 LC","50","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/24/2010","AQS","360010005","1","16.6","ug/m3 LC","60","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/25/2010","AQS","360010005","1","3","ug/m3 LC","13","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/26/2010","AQS","360010005","1","7.7","ug/m3 LC","32","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/27/2010","AQS","360010005","1","10.5","ug/m3 LC","44","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
