"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2014","AQS","390010001","3","5.8","ug/m3 LC","24","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/02/2014","AQS","390010001","3","6.2","ug/m3 LC","26","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/03/2014","AQS","390010001","3","5.3","ug/m3 LC","22","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/04/2014","AQS","390010001","3","3.1","ug/m3 LC","13","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/05/2014","AQS","390010001","3","4.7","ug/m3 LC","20","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/06/2014","AQS","390010001","3","4.5","ug/m3 LC","19","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/07/2014","AQS","390010001","3","4.8","ug/m3 LC","20","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/08/2014","AQS","390010001","3","6.7","ug/m3 LC","28","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/09/2014","AQS","390010001","3","7.9","ug/m3 LC","33","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/10/2014","AQS","390010001","3","3.2","ug/m3 LC","13","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/11/2014","AQS","390010001","3","4.1","ug/m3 LC","17","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
"01/12/2014","AQS","390010001","3","5.8","ug/m3 LC","24","West Union","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","39","Ohio","001","Adams","38.79471","-83.53398"
