"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","480290032","1","7.9","ug/m3 LC","33","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"01/07/2016","AQS","480290032","1","7.7","ug/m3 LC","32","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"01/13/2016","AQS","480290032","1","8.7","ug/m3 LC","36","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"01/19/2016","AQS","480290032","1","6.3","ug/m3 LC","26","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"01/25/2016","AQS","480290032","1","8.5","ug/m3 LC","35","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"01/31/2016","AQS","480290032","1","9.9","ug/m3 LC","41","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"02/06/2016","AQS","480290032","1","7","ug/m3 LC","29","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"02/12/2016","AQS","480290032","1","8","ug/m3 LC","33","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"02/18/2016","AQS","480290032","1","6.6","ug/m3 LC","28","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"02/24/2016","AQS","480290032","1","2.2","ug/m3 LC","9","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/01/2016","AQS","480290032","1","6.7","ug/m3 LC","28","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/07/2016","AQS","480290032","1","9.2","ug/m3 LC","38","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/13/2016","AQS","480290032","1","7.3","ug/m3 LC","30","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/19/2016","AQS","480290032","1","6","ug/m3 LC","25","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/25/2016","AQS","480290032","1","4.9","ug/m3 LC","20","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"03/31/2016","AQS","480290032","1","14.7","ug/m3 LC","56","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"04/06/2016","AQS","480290032","1","6.3","ug/m3 LC","26","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"04/12/2016","AQS","480290032","1","8.1","ug/m3 LC","34","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"04/18/2016","AQS","480290032","1","4.2","ug/m3 LC","18","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"04/24/2016","AQS","480290032","1","5.4","ug/m3 LC","23","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"04/30/2016","AQS","480290032","1","8.3","ug/m3 LC","35","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"05/07/2016","AQS","480290032","1","6.6","ug/m3 LC","28","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"05/12/2016","AQS","480290032","1","12.8","ug/m3 LC","52","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"05/18/2016","AQS","480290032","1","4.1","ug/m3 LC","17","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"05/24/2016","AQS","480290032","1","14.7","ug/m3 LC","56","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"05/30/2016","AQS","480290032","1","6","ug/m3 LC","25","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"06/05/2016","AQS","480290032","1","4.5","ug/m3 LC","19","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
"06/11/2016","AQS","480290032","1","9.8","ug/m3 LC","41","San Antonio Northwest","1","100.0000","88101","PM2.5 - Local Conditions","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.51509","-98.620166"
